,FEN_BEFORE_MOVE,MOVE_MADE,TURN,WHITE_ELO,BLACK_ELO,WINNER
0,1k1r3r/Nb1qn1b1/1p5p/2p1p1pP/2pP4/1P1B2R1/PB1P1P1N/R2QK3 w Q - 1 21,d4c5,WHITE,903,549,-1
1,8/5p1k/5B1p/1P6/p6p/P2pK3/3P1P2/4R3 b - - 0 46,h7g6,BLACK,1360,2382,1
2,3q3r/5r1p/1pB2kp1/pPb2p2/P2p3P/4n1P1/7K/R2Q1R2 w - - 2 29,d1d3,WHITE,1494,277,-1
3,3r1rk1/2Bb2pp/ppn1p1q1/5p2/PPpb4/5BP1/4QP1P/1R3RK1 w - - 4 27,c7d8,WHITE,1103,383,-1
4,3r1k2/5p2/1p1N4/6p1/3R4/P2N1K2/1P6/8 b - - 7 39,b6b5,BLACK,674,1125,1
5,r3kbr1/1p1b4/2n1pP2/1p1p1n1p/3P3P/P3BNP1/1P2B1P1/2R1KN1R b Kq - 0 20,f5e3,BLACK,588,956,1
6,7r/1bP5/3kpp1p/3p3R/p2P4/8/P4PPP/2R3K1 w - - 2 32,h5h3,WHITE,810,1939,1
7,1r3r1k/p4pp1/2qP3p/6bP/P2p2P1/2p5/5P1N/2R2RK1 w - - 0 32,c1b1,WHITE,1067,642,-1
8,2k1rb1r/pq1b1N2/1p2pn1p/nPp1Pp1P/P1p2B2/3P2P1/3N1P2/R2QKB1R w KQ - 0 18,h1h3,WHITE,1087,1347,1
9,rnb3k1/pp2r1qp/3p1n2/1PpP2p1/2P1N2N/P1Q2P1P/4B1P1/3R1RK1 b - - 4 27,b8d7,BLACK,2280,1788,-1
10,r6r/2pPk1p1/p4b1p/2p4P/B2P1P1n/2P1B3/P4P2/1R2K2R b K - 0 25,h8b8,BLACK,926,1423,1
11,r2qbrk1/pp3ppp/3p1b2/2n5/3NP3/P1P3P1/1P1NB1PP/R2Q1RK1 b - - 2 18,e8a4,BLACK,723,746,1
12,3b4/6k1/ppq5/4p3/PP4pp/3PB1P1/1Q5P/1R4K1 w - - 0 43,b1c1,WHITE,1540,2076,1
13,2r1k2r/1p2ppb1/3p1n2/p1p2p2/q1P3P1/1P1P2N1/P1K5/R3BB1R b k - 0 26,a4a3,BLACK,776,200,-1
14,4kb1Q/3b1p2/r1n1p2p/pp1pP2P/2pN2P1/2P4R/r3B3/1R2K3 w - - 1 34,d4b5,WHITE,363,1178,1
15,r3kb2/pp1bp3/n1q1npN1/2p4P/2Pp4/P2P2N1/1P1B1P1K/R2Q1R2 b q - 2 24,e8c8,BLACK,1132,2357,1
16,r1bqr1k1/p5p1/1p1bpp1p/1Npp4/PnPPn2N/1P2P1P1/1B3PBP/R2QR1K1 w - - 8 18,d1h5,WHITE,2233,2304,1
17,3r2kr/4bpp1/pN1Pq3/1nP1p3/1P2P1p1/P2QB1Pb/5P1P/2R1R2K b - - 0 33,h8h5,BLACK,321,1498,1
18,8/1b3kp1/8/1P2n3/r5p1/3r4/8/2B1K3 w - - 2 48,e1f2,WHITE,1074,657,-1
19,rn1r2k1/pp2bp1p/6p1/2N1P3/5QR1/P2p1n2/1PqB1P1P/K1R2B2 w - - 0 24,c1c2,WHITE,491,1482,1
20,5rk1/1p3p1p/2p5/4pN1p/1b4P1/1p1RBP2/1r2BK2/2R5 b - - 1 31,g8h8,BLACK,559,2035,1
21,4r1k1/8/p6p/1Pp2Rp1/6q1/1P2B3/P2P1R2/5K2 w - - 0 39,e3c5,WHITE,1345,290,-1
22,r1r3kb/3b1p1p/1p1q2pP/p1n3B1/P1BppP2/Q7/P5PN/2R1R1K1 w - - 1 29,f4f5,WHITE,1044,1611,1
23,4r3/5pk1/prpR1b2/R1P5/1P5P/P2B1NP1/q3PPK1/8 b - - 0 42,b6b5,BLACK,2429,801,-1
24,1rb4r/1p4kp/4p1p1/p3Np2/3R1P1P/1P4P1/2n1BK2/8 w - - 6 41,d4c4,WHITE,2305,1991,-1
25,r3kb1r/pp5p/2p2p2/3ppb1n/P2P2pB/4P3/3NBPPP/2R1K1NR w Kkq - 0 16,h2h3,WHITE,1820,2417,1
26,1r4k1/6p1/7p/pBNbp3/1PP3p1/P5P1/7P/3R2K1 b - - 3 32,d5f3,BLACK,1137,1403,1
27,2k4r/1p5R/1Bp5/3r2pp/P4P2/3N3P/2P3K1/5R2 w - - 4 32,h7h8,WHITE,1405,1993,1
28,1rr5/1p3p1k/p2P1npb/4p2p/P1P1PP2/3P2P1/3Q2K1/5R2 w - - 1 25,d2b2,WHITE,1678,2116,1
29,r4rk1/5p2/4p1p1/p2BB2p/PbNP3P/2n3P1/5P1K/4R3 b - - 0 37,c3d5,BLACK,2087,1091,-1
30,1r2nr2/pq4pk/4p2p/2p1Np2/P2p1P2/2bP2PB/bN2Q2P/1RB2RK1 w - - 16 37,b1a1,WHITE,1283,1454,1
31,r3kbr1/1p3pq1/2p5/2P1p3/NP1pP1pN/6Pp/1P1P1Q1K/R1B2R2 w - - 0 24,h4f5,WHITE,1474,1934,1
32,8/1P6/5k2/5n2/1R6/3K4/7b/8 b - - 8 62,h2c7,BLACK,690,1240,1
33,1rb2rk1/2qn3p/2n1p1p1/p2pp1BP/Np1P4/1PpB2N1/4QPP1/2R2RK1 b - - 3 25,c6d4,BLACK,1789,1437,-1
34,2kr3r/p2b1pQp/1qn1p3/1pppP3/7P/2NP4/1PP2PP1/2B2RK1 b - - 0 19,f7f5,BLACK,884,219,-1
35,1nNbnrk1/1p3p1p/r2p2p1/p1p1pB2/2P1N2q/P2PPQ2/1P5P/1R2BR1K b - - 1 26,h4h6,BLACK,1760,2462,1
36,r4rk1/p2qbpp1/5n1p/npp1p2b/4p1PP/P2P1PN1/BPP2N2/R1BQK2R b KQ - 1 16,e4f3,BLACK,678,339,-1
37,3r1rk1/ppq3p1/n1p1b2p/2b1p3/1P2PPn1/P4N2/2QB1PBP/R2N1RK1 b - - 0 19,c5d4,BLACK,334,983,1
38,rn2k2r/pp2bp2/1qp1b1n1/3p4/4P3/1PPB3p/P6P/1KBR1QNR w kq - 1 23,b3b4,WHITE,2240,1709,-1
39,1r6/R2b1rnk/3pq3/1p2p2p/2PpP1PB/1P3P1B/7K/2Q3R1 b - - 0 36,b5c4,BLACK,1064,2398,1
40,2k1r3/qpp2Npp/1bnp1n2/4p3/pPB1P1b1/B1P3Q1/P2P2PP/RN2KR2 b - - 8 18,d6d5,BLACK,2089,2232,1
41,1r4r1/2qp4/p2bpPpk/2pP2R1/3n3P/P4N1P/1PQ2PB1/1R5K w - - 1 36,c2e4,WHITE,1983,1678,-1
42,8/4r1k1/1p1r4/1Pn2p2/pRPp1Pb1/P2P2Pp/3RP2P/5K2 b - - 3 52,c5b3,BLACK,2209,526,-1
43,2r1k2r/1p1q2pp/2nb1p1n/1Q4PP/3p4/2P1B2B/bP3P2/2KR3R b k - 2 22,h6g4,BLACK,1564,344,-1
44,5rk1/p3r3/qn1n2p1/3Pp1Pp/1Rp1P2P/P1P2N2/2Q1B1R1/2B1K3 b - - 3 35,g8h7,BLACK,1436,2143,1
45,2r1r1k1/5pb1/4b1pp/ppq3P1/4P2P/1P3N2/P3RP2/1K1R4 b - - 1 34,b5b4,BLACK,950,326,-1
46,2kB4/1p4p1/b3q2p/8/2nQ4/P5KP/1P4P1/6R1 w - - 1 44,d8h4,WHITE,354,1898,1
47,r2q1r1k/1pp5/1n2p2p/3pNp1b/p2P2p1/P1PBP1P1/1PQN3P/1K3RR1 b - - 1 22,h8g7,BLACK,1316,2397,1
48,2q1rrk1/4bp2/7p/pp1n2p1/2nPN1P1/P1PQ2PP/1P4B1/1RB2RK1 w - - 0 26,e4f2,WHITE,2031,2429,1
49,1r1rk3/p2p4/B1q1p1n1/2p4p/2P1N1p1/Q1B3P1/3K3P/R3R3 b - - 3 51,d7d5,BLACK,1812,1778,-1
50,Bn1r2k1/p1q3b1/1np3Qp/3bP1p1/1P3P2/2Pp2PP/P6K/R1BR4 b - - 4 27,b6a8,BLACK,645,481,-1
51,r1qr1k2/1b1p1ppQ/4p3/2n1n1b1/ppP5/3B4/PP1B1PPP/R1NR2K1 w - - 2 22,d2g5,WHITE,310,1010,1
52,5k2/6p1/pp2b3/2p1P1p1/nPP4r/P2P4/2R1B3/B5K1 w - - 4 38,e2d1,WHITE,1953,2165,1
53,r2r1bk1/1bqn1p2/4n1pp/1pppP3/p7/P3PNNP/2Q2PP1/BBRR2K1 b - - 1 28,c5c4,BLACK,2433,564,-1
54,r6r/pb1q4/1p2p1kp/3pPp2/P1pP1PpR/2P3P1/1P6/R1BQKN2 w - - 0 28,c1d2,WHITE,1464,804,-1
55,4Qbk1/2r2pp1/4n1b1/N5Pp/1PBpP2P/5Pq1/3B1N2/3R1K2 b - - 2 38,c7e7,BLACK,1787,2007,1
56,2rk4/4rp2/6pp/Rb1n3P/5NP1/1P6/3B1P2/3K1B1R b - - 0 37,d5c3,BLACK,834,1096,1
57,b1r2rk1/6p1/P2pp1q1/8/1n1N1p1p/N4R1P/3Q3K/R4B2 b - - 1 32,e6e5,BLACK,2179,2069,-1
58,r4rk1/1bp1bpp1/p3p2p/4N3/1pBPq1P1/4P3/PP1BQ2P/R2K2R1 b - - 3 25,c7c5,BLACK,2133,2445,1
59,5rk1/p3pp1p/1qp3p1/1p2bPNn/n7/P6R/1PPNQP1P/1K3BR1 b - - 0 23,b6d4,BLACK,2331,265,-1
60,2r3r1/k2n1p2/Ppq1p3/2pNPnp1/2Pp3p/1Q5P/P4PPB/1RR4K w - - 0 29,h2g1,WHITE,1760,1767,1
61,2r3k1/4rq2/1pb1p2p/p1p1Q1PN/P2p3B/1N1P1p1P/1PP4K/R5R1 b - - 0 38,f3f2,BLACK,538,2210,1
62,6rr/3pk3/p1p2p2/1p2pp1p/1P1b1N2/P4PP1/2RN3P/3K1Q2 w - - 2 34,f4g2,WHITE,815,1993,1
63,1n2r1k1/1p1nqppp/1Pp1b3/3pP3/8/3P1N2/rRQ1BPPP/3R2K1 b - - 0 23,a2a3,BLACK,1520,2154,1
64,1r2r1k1/2pq1pb1/P2p1np1/2p4p/N1P1bB2/P5PP/4PPB1/2RQK2R w K - 1 21,e1g1,WHITE,1539,381,-1
65,r3k2r/ppq1bppp/2n1bn2/4p3/2pPp3/2P2N1P/PP1N1PP1/RBBQR1K1 w kq - 0 12,d4e5,WHITE,800,989,1
66,2r1qrk1/pb2b1p1/1p1nNn1p/3pNp2/PPpP4/2P1P2P/2B2PPB/RQ3RK1 b - - 0 23,f8f7,BLACK,1510,2488,1
67,8/8/2PR3K/p7/P5B1/4k3/3p4/2r5 w - - 15 89,h6g7,WHITE,2310,2479,1
68,4r3/8/7k/p1bB2Rp/2P4P/1P4P1/P7/3K4 b - - 0 42,c5d6,BLACK,1197,1884,1
69,1r3rk1/3n1p2/p2Ppb1p/3p4/2q5/N1PN1Q2/PP3PPP/R4RK1 b - - 6 26,c4a4,BLACK,2353,1114,-1
70,3r1Nk1/8/p1p1q2p/1p3pp1/4p3/5nP1/PPP1QPKP/R1BN3R b - - 0 25,d8f8,BLACK,1825,2120,1
71,r4r2/ppq1k3/2nb4/2pPp1Q1/6bP/P2P1NP1/1P1N1nB1/2K1R2R b - - 2 25,e7e8,BLACK,1387,432,-1
72,3b3k/6pp/5r2/1Np4P/1pPp4/6P1/6K1/4b3 w - - 3 38,g3g4,WHITE,1651,742,-1
73,rnbqkb1r/pppp1ppp/4p3/2n1P1B1/8/3P1N2/PPP2PPP/RN1QKB1R b KQkq - 2 5,f7f6,BLACK,929,1953,1
74,r1bqr1k1/pp3ppp/2pb2n1/P2p4/3Pn3/2NBPN1P/1PPB1PP1/R2QR1K1 b - - 0 16,d6c7,BLACK,2495,2000,-1
75,2k3r1/1pqnbp2/p1p2nb1/P1Pp3r/3PpPp1/1Q2P2P/1P4N1/RNB1KB1R w - - 0 22,h3h4,WHITE,2025,2058,1
76,2b2rk1/2q3pp/5p2/2P1p3/1pP3P1/4QNP1/4PPB1/3R2K1 w - - 0 24,f3h4,WHITE,307,936,1
