,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,WHITE_ELO,BLACK_ELO,WINNER
0,0,-1000000,0,-5,0,0,0,-5,3,-3,0,-9,-3,0,-3,0,0,-1,0,0,0,0,0,-1,0,0,-1,0,-1,0,-1,1,0,0,-1,1,0,0,0,0,0,1,0,3,0,0,5,0,1,3,0,1,0,1,0,3,5,0,0,9,1000000,0,0,0,903,549,-1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1000000,0,0,0,0,0,3,0,-1,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,1,0,0,-1,1000000,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,1360,2382,1
2,0,0,0,-9,0,0,0,-5,0,0,0,0,0,-5,0,-1,0,-1,3,0,0,-1000000,-1,0,-1,1,-3,0,0,-1,0,0,1,0,0,-1,0,0,0,1,0,0,0,0,-3,0,1,0,0,0,0,0,0,0,0,1000000,5,0,0,9,0,5,0,0,1494,277,-1
3,0,0,0,-5,0,-5,-1000000,0,0,0,3,-3,0,0,-1,-1,-1,-1,-3,0,-1,0,-9,0,0,0,0,0,0,-1,0,0,1,1,-1,-3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,9,1,0,1,0,5,0,0,0,5,1000000,0,1103,383,-1
4,0,0,0,-5,0,-1000000,0,0,0,0,0,0,0,-1,0,0,0,-1,0,3,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,5,0,0,0,0,1,0,0,3,0,1000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,1125,1
5,-5,0,0,0,-1000000,-3,-5,0,0,-1,0,-3,0,0,0,0,0,0,-3,0,-1,1,0,0,0,-1,0,-1,0,-3,0,-1,0,0,0,1,0,0,0,1,1,0,0,0,3,3,1,0,0,1,0,0,3,0,1,0,0,0,5,0,1000000,3,0,5,588,956,1
6,0,0,0,0,0,0,0,-5,0,-3,1,0,0,0,0,0,0,0,0,-1000000,-1,-1,0,-1,0,0,0,-1,0,0,0,5,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,5,0,0,0,1000000,0,810,1939,1
7,0,-5,0,0,0,-5,0,-1000000,-1,0,0,0,0,-1,-1,0,0,0,-9,1,0,0,0,-1,0,0,0,0,0,0,-3,1,1,0,0,-1,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,5,0,0,5,1000000,0,1067,642,-1
8,0,0,-1000000,0,-5,-3,0,-5,-1,-9,0,-3,0,3,0,0,0,-1,0,0,-1,-3,0,-1,-3,1,-1,0,1,-1,0,1,1,0,-1,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,1,0,0,5,0,0,9,1000000,3,0,5,1087,1347,1
9,-5,-3,-3,0,0,0,-1000000,0,-1,-1,0,0,-5,0,-9,-1,0,0,0,-1,0,-3,0,0,0,1,-1,1,0,0,-1,0,0,0,1,0,3,0,0,3,1,0,9,0,0,1,0,1,0,0,0,0,3,0,1,0,0,0,0,5,0,5,1000000,0,2280,1788,-1
